date,volume,open,high,low,close
106/09/15,3889283.00,28.65,28.75,28.15,28.15
106/09/18,5015351.00,28.10,28.90,28.10,28.45
106/09/19,6339174.00,28.50,28.95,28.35,28.50
106/09/20,9261031.00,28.60,29.10,28.45,28.80
106/09/21,9651271.00,28.90,29.45,28.75,29.10
106/09/22,15513475.00,29.20,29.65,28.80,28.85
106/09/25,22945747.00,29.00,29.95,28.70,29.95
106/09/26,24082593.00,29.70,30.30,29.55,29.95
106/09/27,22780729.00,30.20,30.40,29.70,29.70
106/09/28,10294265.00,29.80,29.95,29.25,29.70
106/09/29,15737030.00,29.85,30.15,29.50,29.55
106/09/30,7648178.00,29.60,30.30,29.45,30.30
106/10/02,15490414.00,30.45,30.75,30.15,30.40
106/10/03,7431421.00,30.40,30.55,30.25,30.25
106/10/05,11144495.00,30.30,30.75,30.25,30.60
106/10/06,80231413.00,32.80,33.65,32.70,33.65
106/10/11,31866437.00,33.65,33.75,32.85,33.50
106/10/12,25127501.00,33.25,33.35,32.30,32.70
106/10/13,25610769.00,32.70,33.65,32.20,32.70
106/10/16,19483934.00,32.50,32.95,31.85,31.85
106/10/17,15671264.00,31.90,32.00,30.95,31.15
106/10/18,7913893.00,31.40,31.65,31.05,31.25
106/10/19,8729475.00,31.40,31.80,31.30,31.40
106/10/20,6236216.00,31.25,31.65,31.00,31.20
106/10/23,12489374.00,31.35,31.90,31.30,31.50
106/10/24,9134226.00,31.60,31.65,31.10,31.20
106/10/25,16701631.00,31.30,31.85,31.25,31.65
106/10/26,23769606.00,31.55,32.30,31.50,31.85
106/10/27,19754217.00,31.90,32.10,29.90,30.00
106/10/30,11868910.00,30.25,30.60,29.40,29.60
106/10/31,6384325.00,29.85,30.35,29.75,30.05
106/11/01,6259760.00,30.25,30.35,29.85,29.95
106/11/02,14116050.00,30.20,30.95,30.00,30.80
106/11/03,34569088.00,31.35,32.20,31.35,31.50
106/11/06,11349689.00,31.40,31.40,30.70,30.85
106/11/07,10114183.00,30.85,30.85,30.25,30.30
106/11/08,6200503.00,30.30,30.65,30.05,30.25
106/11/09,9116891.00,30.40,30.40,29.30,29.55
106/11/10,17799791.00,27.80,28.60,27.80,28.25
106/11/13,12984313.00,28.00,28.05,27.25,27.25
106/11/14,8925299.00,27.25,28.15,27.25,27.50
106/11/15,17713820.00,27.50,28.40,26.75,28.30
106/11/16,15178856.00,28.15,28.65,28.00,28.00
106/11/17,7778690.00,28.25,28.30,27.70,27.85
106/11/20,7861435.00,27.85,28.20,27.20,27.30
106/11/21,5325537.00,27.50,27.60,27.35,27.35
106/11/22,7221050.00,27.60,27.90,27.35,27.40
106/11/23,5727169.00,27.50,27.85,27.40,27.55
106/11/24,4818039.00,27.70,27.80,27.55,27.80
106/11/27,11930441.00,28.10,28.75,28.00,28.05
106/11/28,4738625.00,28.05,28.10,27.70,27.70
106/11/29,4278516.00,27.95,28.00,27.55,27.60
106/11/30,4903386.00,27.40,27.45,27.30,27.30
106/12/01,37549736.00,27.50,29.15,27.40,28.10
106/12/04,11068475.00,28.25,28.40,27.80,28.10
106/12/05,17774609.00,28.20,28.80,28.00,28.00
106/12/06,9256597.00,28.15,28.25,27.00,27.25
106/12/07,9566314.00,27.40,27.45,26.75,26.75
106/12/08,9290822.00,26.95,27.65,26.25,27.40
106/12/11,18792431.00,27.45,28.25,27.20,27.85
106/12/12,6229202.00,27.90,27.90,27.30,27.30
106/12/13,5208518.00,27.30,27.35,27.05,27.05
106/12/14,10229806.00,27.25,27.35,26.70,26.70
