date,volume,open,high,low,close
106/12/11,3834587,74,74.4,74,74.2
106/12/12,5181865,74.1,74.2,73.8,74.2
106/12/13,2579328,74,74.7,73.9,74.6
106/12/14,3099480,74.8,75.4,74.7,75
106/12/15,8154985,74.5,75.1,74.3,74.7
106/12/18,6441978,75.4,75.8,74.9,75.2
106/12/19,6031728,75.5,76,75.3,75.3
106/12/20,3789535,76,76,75.6,75.8
106/12/21,4503213,75.9,76,75.8,75.9
106/12/22,4808282,76,76.2,75.9,76.2
106/12/25,3591955,76.3,76.7,76.1,76.5
106/12/26,2440676,76.2,76.6,76.2,76.5
106/12/27,6836671,76.6,77.5,76.5,77.5
106/12/28,5867456,77.6,77.8,77.2,77.2
106/12/29,9289725,77.2,78.2,77.1,77.9
107/01/02,5700892,78,78,76.4,77
107/01/03,6683153,77.2,78.2,77,78.2
107/01/04,9567363,77.8,78.3,77.3,78
107/01/05,6701003,78,78.4,77.6,78
107/01/08,10449204,78.1,79.5,78.1,79.5
107/01/09,15653278,79.5,81.7,79.5,81.7
107/01/10,17674773,82.1,83.3,82.1,82.7
107/01/11,9150633,81.9,82.4,81,82
107/01/12,8579822,81.6,82,81,81.1
107/01/15,6396843,81.6,82,81.1,82
107/01/16,5648303,82,82,81.2,81.5
107/01/17,9285555,81.5,81.5,80.9,81.5
107/01/18,7234446,81.8,82.3,81.1,81.2
107/01/19,4480876,81.1,81.3,80.3,81.1
107/01/22,6782642,81,81.1,80.4,80.8
107/01/23,4335871,80.8,80.9,80.2,80.9
107/01/24,6996588,80.3,80.7,80.1,80.3
107/01/25,7434211,80.5,82,80.5,81.8
107/01/26,4192110,81.7,81.7,80.8,81.6
107/01/29,3567913,81.7,82,81.2,82
107/01/30,4108648,81.5,81.8,80.8,81
107/01/31,9607516,80.3,81.3,79.8,80.1
107/02/01,6822393,80.1,80.8,80,80.1
107/02/02,5851938,79.5,79.9,79.5,79.8
107/02/05,7256184,78.1,79.1,78,78.8
107/02/06,14038147,76.8,77.6,75.2,76.1
107/02/07,10499610,77.1,78.8,76.8,77.7
107/02/08,5313330,78,78.2,77.4,77.7
107/02/09,11548995,75.5,76.6,75.3,76
107/02/12,8715583,76,77.1,76,76.2
107/02/21,7439157,78.8,79,77.3,79
107/02/22,5205577,77.9,78.6,77.9,78.5
107/02/23,7246599,78.5,79.3,78.3,79.1
107/02/26,5412759,79.9,80.7,79.8,80.3
107/02/27,8501239,80.7,80.9,80.2,80.6
